[Sun Jul 29 21:15:31 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Sun Jul 29 21:15:31 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/favicon.ico
[Sun Jul 29 21:15:31 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/favicon.ico
[Sun Jul 29 21:15:52 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/index.php
[Sun Jul 29 21:20:11 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Sun Jul 29 21:21:06 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Sun Jul 29 21:21:08 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Sun Jul 29 21:24:59 2012] [alert] [client 127.0.0.1] C:/WebServers/home/Decanat/www/.htaccess: AllowOverride not allowed here
[Sun Jul 29 21:26:46 2012] [error] [client 127.0.0.1] Directory index forbidden by Options directive: C:/WebServers/home/Decanat/www/app/webroot/
[Sun Jul 29 21:27:14 2012] [alert] [client 127.0.0.1] C:/WebServers/home/Decanat/www/.htaccess: AllowOverride not allowed here
[Mon Jul 30 14:04:07 2012] [alert] [client 127.0.0.1] C:/WebServers/home/Decanat/www/.htaccess: AllowOverride not allowed here
[Mon Jul 30 14:04:08 2012] [alert] [client 127.0.0.1] C:/WebServers/home/Decanat/www/.htaccess: AllowOverride not allowed here
[Mon Jul 30 14:04:55 2012] [alert] [client 127.0.0.1] C:/WebServers/home/Decanat/www/.htaccess: AllowOverride not allowed here
[Mon Jul 30 14:09:24 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Mon Jul 30 14:09:46 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Mon Jul 30 14:10:22 2012] [error] [client 127.0.0.1] Directory index forbidden by Options directive: C:/WebServers/home/Decanat/www/app/webroot/
[Mon Jul 30 14:12:14 2012] [error] [client 127.0.0.1] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: C:/WebServers/home/Decanat/www/
[Mon Jul 30 14:20:29 2012] [error] [client 127.0.0.1] client denied by server configuration: C:/WebServers/home/Decanat/www/app/webroot/.htaccess
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\CacheEngine.php on line 59, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   1. {main}() C:\\WebServers\\home\\Decanat\\www\\app\\webroot\\index.php:0, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   2. include() C:\\WebServers\\home\\Decanat\\www\\app\\webroot\\index.php:77, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   3. Configure::bootstrap() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\bootstrap.php:142, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   4. include() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Core\\Configure.php:76, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   5. Cache::config() C:\\WebServers\\home\\Decanat\\www\\app\\Config\\core.php:266, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   6. Cache::_buildEngine() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\Cache.php:135, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   7. FileEngine->init() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\Cache.php:164, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   8. CacheEngine->init() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\Engine\\FileEngine.php:80, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   9. strtotime() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\CacheEngine.php:59, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP Warning:  strtotime(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\CacheEngine.php on line 59, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP Stack trace:, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   1. {main}() C:\\WebServers\\home\\Decanat\\www\\app\\webroot\\index.php:0, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   2. include() C:\\WebServers\\home\\Decanat\\www\\app\\webroot\\index.php:77, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   3. Configure::bootstrap() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\bootstrap.php:142, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   4. include() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Core\\Configure.php:76, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   5. Cache::config() C:\\WebServers\\home\\Decanat\\www\\app\\Config\\core.php:278, referer: http://decanat/
[Mon Jul 30 14:20:33 2012] [error] [client 127.0.0.1] PHP   6. Cache::_buildEngine() C:\\WebServers\\home\\Decanat\\www\\lib\\Cake\\Cache\\Cache.php:135, referer: http://decanat/
